,Age,Attrition,DistanceFromHome,Education,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,average_m_rating,MeanWorkingTime
0,51,0,6,2,1,1,131160,1.0,11,0,1.0,6,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3.0,4.0,2.0,3.0,7.363300706388888
1,31,1,10,1,1,1,41890,0.0,23,1,6.0,3,5,1,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,2.0,4.0,3.0,8.07767083638889
2,32,0,17,4,0,4,193280,1.0,15,3,5.0,2,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2.0,2.0,1.0,3.0,7.110486409722222
3,38,0,2,5,0,3,83210,3.0,11,3,13.0,5,8,7,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0,4.0,3.0,2.5,7.275869238333334
4,32,0,10,1,0,1,23420,4.0,12,2,9.0,2,6,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.0,1.0,3.0,3.0,8.011352125833334
5,46,0,8,3,1,4,40710,3.0,13,0,28.0,5,7,7,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2.0,2.0,3.0,10.590173423055557
6,28,1,11,2,0,2,58130,2.0,20,1,5.0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,3.0,1.0,3.5,6.961007483611111
7,29,0,18,3,0,2,31430,2.0,22,3,10.0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,2.0,3.0,3.5,6.736408304166667
8,31,0,1,3,0,3,20440,0.0,21,0,10.0,2,9,7,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0,4.0,3.0,3.5,7.1689296958333335
9,25,0,7,4,1,4,134640,1.0,13,1,6.0,2,6,1,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0,1.0,3.0,3.0,7.079802017222223
10,45,0,17,2,0,2,79910,0.0,13,2,21.0,2,20,4,10,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0,4.0,3.0,2.5,8.554233272222222
11,36,0,28,1,0,1,33770,0.0,12,2,16.0,2,15,10,11,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2.7236031927023947,4.0,3.0,3.0,7.395219648055556
12,55,0,14,4,1,1,55380,0.0,17,0,37.0,2,36,4,13,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.0,1.0,3.0,3.0,9.421012166666666
13,47,1,1,1,0,1,57620,1.0,11,2,10.0,4,10,9,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,2.0,2.0,2.5,9.318457540277777
14,28,0,1,3,0,1,25920,1.0,14,0,5.0,2,5,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,4.0,2.0,3.0,6.1063143075
15,37,0,1,3,0,2,53460,4.0,11,0,7.0,2,5,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,4.0,4.0,3.0,6.773421387777778
16,21,0,3,2,0,1,42130,1.0,12,3,3.0,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0,3.0,4.0,2.5,6.3402396175
17,37,0,1,3,0,2,41270,2.0,13,1,15.0,2,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,4.0,3.0,3.0,11.19890642388889
18,35,0,7,4,0,1,24380,7.0,16,0,10.0,5,7,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0,2.0,2.0,2.5,7.070682286111111
19,38,0,8,3,1,1,68700,1.0,11,1,8.0,5,8,7,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,3.0,3.0,9.21671429888889
