,Age,Attrition,DistanceFromHome,Education,EmployeeID,EmployeeCount,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
0,51,0,6,2,1,1,1,1,131160,1.0,11,0,1.0,6,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,31,1,10,1,2,1,1,1,41890,0.0,23,1,6.0,3,5,1,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,32,0,17,4,3,1,0,4,193280,1.0,15,3,5.0,2,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3,38,0,2,5,4,1,0,3,83210,3.0,11,3,13.0,5,8,7,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,32,0,10,1,5,1,0,1,23420,4.0,12,2,9.0,2,6,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
5,46,0,8,3,6,1,1,4,40710,3.0,13,0,28.0,5,7,7,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6,28,1,11,2,7,1,0,2,58130,2.0,20,1,5.0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
7,29,0,18,3,8,1,0,2,31430,2.0,22,3,10.0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
8,31,0,1,3,9,1,0,3,20440,0.0,21,0,10.0,2,9,7,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
9,25,0,7,4,10,1,1,4,134640,1.0,13,1,6.0,2,6,1,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
10,45,0,17,2,11,1,0,2,79910,0.0,13,2,21.0,2,20,4,10,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11,36,0,28,1,12,1,0,1,33770,0.0,12,2,16.0,2,15,10,11,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
12,55,0,14,4,13,1,1,1,55380,0.0,17,0,37.0,2,36,4,13,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
13,47,1,1,1,14,1,0,1,57620,1.0,11,2,10.0,4,10,9,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
14,28,0,1,3,15,1,0,1,25920,1.0,14,0,5.0,2,5,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
15,37,0,1,3,16,1,0,2,53460,4.0,11,0,7.0,2,5,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
16,21,0,3,2,17,1,0,1,42130,1.0,12,3,3.0,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
17,37,0,1,3,18,1,0,2,41270,2.0,13,1,15.0,2,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
18,35,0,7,4,19,1,0,1,24380,7.0,16,0,10.0,5,7,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
19,38,0,8,3,20,1,1,1,68700,1.0,11,1,8.0,5,8,7,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
20,26,0,1,4,21,1,0,2,104470,1.0,18,0,6.0,3,6,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
21,50,0,8,4,22,1,0,1,96670,3.0,23,0,28.0,2,10,1,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
22,53,0,11,4,23,1,1,2,21480,3.0,11,0,21.0,2,5,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
23,42,0,4,4,24,1,0,1,89260,1.0,14,0,10.0,4,20,11,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
24,29,0,16,4,25,1,0,1,65130,1.0,11,1,10.0,2,10,0,9,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
25,55,0,1,4,26,1,1,1,67990,3.0,11,0,12.0,2,10,0,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
26,26,0,9,3,27,1,1,1,162910,1.0,22,0,5.0,3,5,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
27,37,0,5,1,28,1,0,1,27050,1.0,11,0,17.0,2,17,5,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
28,44,1,1,2,29,1,0,2,103330,3.0,14,1,19.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
29,38,0,2,3,30,1,1,1,44480,9.0,12,0,10.0,3,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
30,26,1,4,3,31,1,0,3,68540,2.0,11,0,5.0,5,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
31,28,0,7,3,32,1,0,1,96370,1.0,13,0,5.0,6,5,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
32,49,0,1,1,33,1,1,2,35910,9.0,13,0,22.0,2,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33,36,0,5,3,34,1,0,3,54050,4.0,14,0,10.0,2,8,7,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
34,31,0,9,4,35,1,0,1,46840,1.0,16,1,2.0,4,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
35,26,1,8,3,36,1,0,2,157870,1.0,12,2,8.0,5,8,7,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
36,37,0,9,1,37,1,0,1,15140,1.0,14,0,4.0,3,4,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
